X,Y,OBJECTID,NAME,CARES Classroom,In Person Learning,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,TOTAL_STUD,SSL,GIS_ID,WEB_URL,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,LONGITUDE,LATITUDE,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,GRADES,MAR_ID,XCOORD,YCOORD,ZIPCODE,PK3,PK4,UN_CE,FACILITY_ID
-77.07030987,38.91345383,37,Duke Ellington School of the Arts,FALSE,FALSE,3500 R STREET NW,High School/Specialized,HS,Active,202-282-0123,537, ,dcps_471,http://www.ellingtonschool.org,471,471,N,500,1898,167500,700,-77.070308,38.913446,2020-2021,District of Columbia Public Schools,1,Duke Ellington School of the Arts,471,9th-12th,242979,393902.4,138400.27,20007,,,,DGS_0526.0
-77.00019727,38.83598798,38,Simon Elementary School,FALSE,FALSE,401 MISSISSIPPI AVENUE SE,Elementary School,ES,Active,202-645-3360,276, ,dcps_315,http://profiles.dcps.dc.gov/Simon+Elementary+School,315,315,N,549,1950,66200,325,-77.000195,38.83598054,2020-2021,District of Columbia Public Schools,1,Simon Elementary School,315,PK3-5th,294481,399983.07,129798.63,20032,19,28,,DGS_0568.0
-77.00000665,38.89630516,39,Stuart-Hobson Middle School,FALSE,FALSE,410 E STREET NE,Middle School,MS,Active,202-671-6010,431, ,dcps_428,http://www.capitolhillclusterschool.org/our-schools/stuart-hobson-middle-school,428,428,Y,460,1927,105900,450,-77.00000438,38.8962977,2020-2021,District of Columbia Public Schools,1,Stuart-Hobson Middle School (Capitol Hill Cluster),428,6th-8th,294483,399999.62,136494.28,20002,,,,DGS_0576.0
-76.97189989,38.90199948,40,"Phelps Architecture, Construction, and Engineering High School",FALSE,FALSE,704 26TH STREET NE,High School/Specialized,HS,Active,202-729-4360,328, ,dcps_478,http://phelpshsdc.org/,478, ,N,,1912,205776,600,-76.97189763,38.90199202,2020-2021,District of Columbia Public Schools,1,"Phelps Architecture, Construction and Engineering High School",478,9th-12th,294495,402437.64,137126.77,20002,,,,DGS_0725.0
-77.01558694,38.92043758,41,Washington Metropolitan High School,FALSE,FALSE,300 BRYANT STREET NW,Youth Engagement,YE,Active,202-671-1788,5, ,dcps_474,http://washingtonmetropolitanhs.org/,474, ,N,,,,,-77.01558101,38.92043047,2020-2021,District of Columbia Public Schools,1,CHOICE Academy @ Wash Met,474,Alternative,294475,398648.5131,139173.2908,20001,,,,DGS_0789.0
-77.00097753,38.83939011,42,Ballou High School,FALSE,FALSE,3401 4TH STREET SE,High School,HS,Active,202-645-3400,930, ,dcps_452,http://www.balloudc.org/,452,452,N,1565,1960,271300,1200,-77.00097526,38.83938266,2020-2021,District of Columbia Public Schools,1,Ballou High School,452,9th-12th,294567,399915.33,130176.29,20032,,,17,DGS_0519.0
-76.98294592,38.85666497,43,Moten Elementary School,TRUE,FALSE,1565 MORRIS ROAD SE,Elementary School,ES,Active,202-698-1111,405, ,dcps_920,http://www.myschooldc.org/schools/profile/75/,285,285A,N,,1976,144900,,-76.98294368,38.856656,2020-2021,District of Columbia Public Schools,1,Moten Elementary School,285,PK3-5th,294524,401480.43,132093.89,20020,37,45,,DGS_0323.0
-77.00097753,38.83939011,44,Ballou STAY High School,FALSE,FALSE,3401 4TH STREET SE,Youth Engagement,STAY,Active,202-645-3390,930, ,dcps_914,http://www.balloustay.com/,462,452A,N,,,,,-77.00097526,38.83938266,2020-2021,District of Columbia Public Schools,1,Ballou High School,462,Adult,294567,399915.33,130176.29,20032,,,17,DGS_0519.0
-77.02507386,38.95397616,45,Truesdell Elementary School,TRUE,FALSE,800 INGRAHAM STREET NW,Elementary School,ES,Active,202-576-6202,679, ,dcps_327,http://profiles.dcps.dc.gov/Truesdell+Education+Campus,327,327,N,471,1908,69600,450,-77.02507158,38.95396869,2020-2021,District of Columbia Public Schools,1,Truesdell Education Campus,327,PK3-8th,294497,397826.84,142896.55,20011,46,59,,DGS_0738.0
-77.01269375,38.90763401,46,Dunbar High School,FALSE,FALSE,101 N ST NW,High School,HS,Active,202-698-3762,584, ,dcps_467,http://www.dunbarhsdc.org/,467,940,N,1095,1977,343400,1600,-77.012691,38.907627,2020-2021,District of Columbia Public Schools,1,Dunbar High School,467,9th-12th,309947,398899.21,137751.95,20001,,,2,DGS_0272.0
-76.99318529,38.89757245,47,School-Within-School,TRUE,FALSE,920 F STREET NE,Elementary School/Specialized,ES,Active,202-673-8275,,,dcps_201,http://www.schoolwithinschool.org,175,,N,,,,,-76.99318304,38.89756498,2020-2021,District of Columbia Public Schools,1,School-Within-School @ Goding,175,PK3-5th,289072,400591.35,136634.98,20002,,,,DGS_0762.0
-77.02279721,38.97505034,48,Takoma Education Campus,TRUE,FALSE,7010 PINEY BRANCH ROAD NW,Elementary School,ES,Active,202-671-6050,468, ,dcps_3241,http://www.takomaec.us/,324,3241,Y,467,1976,119000,450,-77.02279493,38.97504287,2020-2021,District of Columbia Public Schools,1,Takoma Education Campus,324,PK3-8th,250934,398024.76,145235.93,20012,31,44,,DGS_0723.0
-77.00256497,38.89853776,49,Capitol Hill Montessori,TRUE,FALSE,215 G STREET NE,Elementary School/Specialized,ES,Active,202-698-4467,361, ,dcps_960,http://capitolhillmontessorischool.org/,360,0,N,,,,,-77.00256647,38.89853031,2020-2021,District of Columbia Public Schools,1,Capitol Hill Montessori School @ Logan,360,PK3-8th,286687,399777.37,136742.12,20002,57,60,,DGS_0457.0
-77.00589267,38.91517035,50,Langley Elementary School,TRUE,FALSE,101 T STREET NE,Elementary School,ES,Active,202-576-6034,284, ,dcps_965,http://www.langleyelementary.org/,370,0,N,,,,,-77.00588662,38.91516879,2020-2021,District of Columbia Public Schools,1,Langley Elementary School,370,PK3-5th,285757,399489.48,138589.14,20002,23,38,,DGS_0210.0
-77.02291294,38.87987838,51,Jefferson Middle School Academy,FALSE,FALSE,801 7TH STREET SW,Middle School,MS,Active,202-729-3270,, ,dcps_415,http://www.jeffersontrojans.org/,433,415,Y,900,1940,109000,450,-77.02291066,38.87987093,2020-2021,District of Columbia Public Schools,1,AppleTree Early Learning Center PCS - Southwest,433,6th-8th,276812,398012.08,134671.03,20024,,,,DGS_0739.0
-77.00488447,38.91521789,52,McKinley Middle School,FALSE,FALSE,151 T STREET NE,Middle School,MS,Active,202-281-3950,213, ,dcps_970,http://profiles.dcps.dc.gov/McKinley+Middle+School,435,458,N,,,,,-77.00412244,38.91522012,2020-2021,District of Columbia Public Schools,1,McKinley Middle School,435,6th-8th,296345,399642.48,138594.83,20002,,,,DGS_0283.0
-77.06861619,38.91551649,53,Hardy Middle School,FALSE,FALSE,1819 35TH STREET NW,Middle School,MS,Active,202-729-4350,374, ,dcps_246,http://www.hardyms.org,246,246,Y,,,,,-77.0686139,38.91550903,2020-2021,District of Columbia Public Schools,1,Hardy Middle School,246,6th-8th,274432,394049.46,138629.13,20007,,,,DGS_0355.0
-76.98370595,38.85134435,54,Johnson Middle School,FALSE,FALSE,1400 BRUCE PLACE SE,Middle School,MS,Active,202-939-3140,252, ,dcps_416,http://profiles.dcps.dc.gov/Johnson+Middle+School,416,416,N,,1969,277000,,-76.98370368,38.85133691,2020-2021,District of Columbia Public Schools,1,Johnson Middle School,416,6th-8th,294520,401414.57,131503.42,20020,,,,DGS_0293.0
-77.02488475,38.91062615,55,Seaton Elementary School,TRUE,FALSE,1503 10TH STREET NW,Elementary School,ES,Active,202-673-7215,341, ,dcps_309,http://seatondc.org/,309,309,N,428,1969,65000,325,-77.02488247,38.9106187,2020-2021,District of Columbia Public Schools,1,Seaton Elementary School,309,PK3-5th,279203,397841.92,138084.32,20001,42,55,,DGS_0177.0
-77.02920217,38.94304002,56,Roosevelt STAY High School ,FALSE,FALSE,4301 13TH STREET NW,Youth Engagement,STAY,Active,202-576-8399,668, ,dcps_913,http://www.rooseveltstay.org/,456,459A,N,,,,,-77.029197,38.943029,2020-2021,District of Columbia Public Schools,1,Roosevelt High School,456,Adult,252605,397468.88,141682.3,20011,,,7,DGS_0610.0
-76.95211317,38.90128643,57,Thomas Elementary School,TRUE,FALSE,650 ANACOSTIA AVENUE NE,Elementary School,ES,Active,202-724-4593,409, ,dcps_325,http://www.nevalthomas.org/,325,325,N,636,1946,87600,325,-76.95211091,38.90127897,2020-2021,District of Columbia Public Schools,1,Thomas Elementary School,325,PK3-5th,294493,404154.01,137048.33,20019,39,40,,DGS_0719.0
-76.93079875,38.88596187,58,Nalle Elementary School,TRUE,FALSE,219 50TH STREET SE,Elementary School,ES,Active,202-671-6280,391, ,dcps_288,http://profiles.dcps.dc.gov/Nalle+Elementary+School,288,288,N,460,1950,83900,400,-76.93079651,38.88595442,2020-2021,District of Columbia Public Schools,1,Nalle Elementary School,288,PK3-5th,294474,406004.16,135348.37,20019,49,55,,DGS_0394.0
-77.04081753,38.91911447,59,Marie Reed Elementary School,TRUE,FALSE,2201 18TH STREET NW,Elementary School,ES,Active,202-673-7308,398, ,dcps_284,http://mariereedes.org/,284,284,N,,,,,-77.040822,38.919112,2020-2021,District of Columbia Public Schools,1,Marie Reed Elementary School,284,PK3-5th,310614,396459.87,139027.66,20009,46,54,,DGS_0396.2
-76.97448628,38.87180461,60,Boone Elementary School,TRUE,FALSE,2200 MINNESOTA AVENUE SE,Elementary School,ES,Active,202-671-6240,408, ,dcps_291,http://www.orrelementary.org/,291,291,N,,,,,-76.97448402,38.87179716,2020-2021,District of Columbia Public Schools,1,Orr Elementary School,291,PK3-5th,294539,402214.23,133774.84,20020,44,50,,DGS_0182.0
-77.03881287,38.92395054,61,H.D. Cooke Elementary School,TRUE,FALSE,2525 17TH STREET NW,Elementary School,ES,Active,202-939-5390,420, ,dcps_227,http://www.hdcookeschool.org/,227,227,N,,,,,-77.03881058,38.92394309,2020-2021,District of Columbia Public Schools,1,H.D. Cooke Elementary School,227,PK3-5th,235863,396634.55,139563.86,20009,25,54,,DGS_0430.0
-76.95560701,38.86435729,62,Beers Elementary School,TRUE,FALSE,3600 ALABAMA AVENUE SE,Elementary School,ES,Active,202-939-4800,464, ,dcps_206,http://profiles.dcps.dc.gov/Beers+Elementary+School,206,206,N,448,1942,77500,400,-76.95560475,38.86434984,2020-2021,District of Columbia Public Schools,1,Beers Elementary School,206,PK3-5th,278406,403852.94,132948.76,20020,42,54,,DGS_0535.0
-76.9531611,38.88390186,63,Sousa Middle School,FALSE,FALSE,3650 ELY PLACE SE,Middle School,MS,Active,202-729-3260,255, ,dcps_427,http://www.sousamiddleschool.org/,427,427,N,,,,,-76.95315884,38.88389441,2020-2021,District of Columbia Public Schools,1,Sousa Middle School,427,6th-8th,294584,404064.1,135118.46,20019,,,,DGS_0536.0
-77.07520137,38.9529042,64,Deal Middle School,FALSE,FALSE,3815 FORT DRIVE NW,Middle School,MS,Active,202-939-2010,1477, ,dcps_405,http://alicedeal.org/,405,405,N,900,1931,180000,850,-77.07519907,38.95289674,2020-2021,District of Columbia Public Schools,1,Deal Middle School,405,6th-8th,277548,393481.78,142779.94,20016,,,,DGS_0529.0
-76.93370317,38.89700927,65,Aiton Elementary School,TRUE,FALSE,533 48TH PLACE NE,Elementary School,ES,Active,202-671-6060,251, ,dcps_202,http://profiles.dcps.dc.gov/Aiton+Elementary+School,202,202,N,479,1960,57100,400,-76.93370092,38.89700181,2020-2021,District of Columbia Public Schools,1,Aiton Elementary School,202,PK3-5th,294490,405751.28,136574.53,20019,25,43,,DGS_0669.0
-76.91992925,38.89600143,66,Drew Elementary School,TRUE,FALSE,5600 EADS STREET NE,Elementary School,ES,Active,202-671-6040,253, ,dcps_231,http://www.drewelementary.org/,231,231,N,,,,,-76.91992701,38.89599397,2020-2021,District of Columbia Public Schools,1,Drew Elementary School,231,PK3-5th,277686,406946.23,136463.61,20019,18,32,,DGS_0687.0
-77.08099713,38.94755788,1,Janney Elementary School,TRUE,FALSE,4130 ALBEMARLE STREET NW,Elementary School,ES,Active,202-282-0110,722, ,dcps_254,http://www.janneyschool.org/,254,254,N,364,1925,98200,550,-77.08099483,38.94755042,2020-2021,District of Columbia Public Schools,1,Janney Elementary School,254,PK4-5th,285713,392978.88,142186.88,20016,,79,,DGS_0580.0
-76.98999904,38.88347446,2,Watkins Elementary School,TRUE,FALSE,420 12TH STREET SE,Elementary School,ES,Active,202-698-3355,436, ,dcps_333,http://www.capitolhillclusterschool.org/our-schools/watkins-elementary,333,333,N,578,1962,69300,550,-76.98999677,38.88346701,2020-2021,District of Columbia Public Schools,1,Watkins Elementary School (Capitol Hill Cluster),333,1st-5th,294486,400867.92,135070.02,20003,,,,DGS_0586.0
-77.01289418,38.82820422,3,Leckie Education Campus,TRUE,FALSE,4201 MARTIN LUTHER KING JR AVENUE SW,Elementary School,ES,Active,202-645-3330,553, ,dcps_266,http://www.leckielionsdc.org/,266,266,N,471,1970,65000,400,-77.01289191,38.82819678,2020-2021,District of Columbia Public Schools,1,Leckie Education Campus,266,PK3-8th,294592,398880.58,128934.66,20032,45,57,,DGS_0593.0
-76.96849249,38.85927955,4,Stanton Elementary School,TRUE,FALSE,2701 NAYLOR ROAD SE,Elementary School,ES,Active,202-671-6180,520, ,dcps_319,http://profiles.dcps.dc.gov/Stanton+Elementary+School,319,319,N,547,1944,83800,400,-76.96849023,38.85927211,2020-2021,District of Columbia Public Schools,1,Stanton Elementary School,319,PK3-5th,294547,402734.84,132384.63,20020,30,47,,DGS_0443.0
-76.99649476,38.8987516,5,Ludlow-Taylor Elementary School,TRUE,FALSE,659 G STREET NE,Elementary School,ES,Active,202-698-3244,373, ,dcps_271,http://www.ludlowtaylor.org,271,271,N,,,,,-76.99649249,38.89874414,2020-2021,District of Columbia Public Schools,1,Ludlow-Taylor Elementary School,271,PK3-5th,294494,400304.26,136765.86,20002,43,57,,DGS_0721.0
-76.99659129,38.90276545,6,J.O. Wilson Elementary School,TRUE,FALSE,660 K STREET NE,Elementary School,ES,Active,202-698-4733,495, ,dcps_339,http://profiles.dcps.dc.gov/J.O.+Wilson+Elementary+School,339,339,N,412,1961,98900,400,-76.99658902,38.902758,2020-2021,District of Columbia Public Schools,1,J.O. Wilson Elementary School,339,PK3-5th,288841,400295.87,137211.43,20002,56,61,,DGS_0695.0
-77.03399752,38.98461075,7,Shepherd Elementary School,TRUE,FALSE,7800 14TH STREET NW,Elementary School,ES,Active,202-576-6140,361, ,dcps_313,http://www.shepherd-elementary.org,313,313,N,332,1932,79700,400,-77.03399523,38.98460328,2020-2021,District of Columbia Public Schools,1,Shepherd Elementary School,313,PK3-5th,256319,397054.62,146297.53,20012,32,36,,DGS_0296.0
-77.03225534,38.95137488,8,West Elementary School,TRUE,FALSE,1338 FARRAGUT STREET NW,Elementary School,ES,Active,202-576-6226,315, ,dcps_336,http://www.westschool.org/,336,336,N,281,1978,69600,450,-77.03225306,38.95136741,2020-2021,District of Columbia Public Schools,1,West Education Campus,336,PK3-8th,294517,397204.26,142607.98,20011,23,35,,DGS_0179.0
-77.03122971,38.9415418,9,Powell Elementary School,TRUE,FALSE,1350 UPSHUR STREET NW,Elementary School,ES,Active,202-671-6270,534, ,dcps_300,http://www.powellbilingualelementary.com/,300,300,N,304,1925,38500,325,-77.03122742,38.94153434,2020-2021,District of Columbia Public Schools,1,Powell Elementary School,300,PK3-5th,255302,397292.79,141516.39,20011,50,49,,DGS_0287.0
-76.97968656,38.89041012,10,Eastern High School,FALSE,FALSE,1700 EAST CAPITOL STREET NE,High School,HS,Active,202-698-4500,818, ,dcps_457,http://easternhighschooldc.org/intro/,457,457,N,1425,1923,288800,6,-76.97968429,38.89040266,2020-2021,District of Columbia Public Schools,1,Eastern High School,457,9th-12th,289529,401762.5,135840.08,20003,,,28,DGS_0181.0
-76.98017357,38.87129385,11,Kramer Middle School,FALSE,FALSE,1700 Q STREET SE,Middle School,MS,Active,202-939-3150,193, ,dcps_417,http://www.myschooldc.org/schools/profile/56/,417,417,N,655,1943,154000,550,-76.9801713,38.8712864,2020-2021,District of Columbia Public Schools,1,Kramer Middle School,417,6th-8th,289467,401720.71,133718.02,20020,,,,DGS_0332.0
-77.03966443,38.9123986,12,Ross Elementary School,TRUE,TRUE,1730 R STREET NW,Elementary School,ES,Active,202-673-7200,171, ,dcps_305,http://www.rosselementary.org/,305,305,N,,,,,-77.03966214,38.91239115,2020-2021,District of Columbia Public Schools,1,Ross Elementary School,305,PK3-5th,241714,396560.15,138281.53,20009,14,20,,DGS_0340.0
-76.99360653,38.86285943,13,Savoy Elementary School,TRUE,FALSE,2400 SHANNON PLACE SE,Elementary School,ES,Active,202-939-2000,315, ,dcps_307,http://profiles.dcps.dc.gov/Savoy+Elementary+School,307,307,N,479,1968,64800,450,-76.99360426,38.86285199,2020-2021,District of Columbia Public Schools,1,Savoy Elementary School,307,PK3-5th,278153,400555.08,132781.57,20020,20,34,,DGS_0419.0
-77.05720566,38.92360328,14,Oyster-Adams Bilingual School (Oyster),FALSE,FALSE,2801 CALVERT STREET NW,Elementary School,ES,Active,202-671-6130,674, ,dcps_292,http://oysteradamsbilingual.org/,292,292,N,,,,,-77.05720337,38.92359583,2020-2021,District of Columbia Public Schools,1,Oyster-Adams Bilingual School,292,PK4-3rd,275944,395039.6,139526.15,20008,6,34,,DGS_0446.0
-77.05232329,38.90747696,15,School Without Walls @ Francis-Stevens,FALSE,FALSE,2425 N STREET NW,Education Campus,EC,Active,202-724-4841,471, ,dcps_409,http://www.swwfs.org/,409,409,N,520,1927,95100,450,-77.052321,38.9074695,2020-2021,District of Columbia Public Schools,1,School Without Walls @ Francis-Stevens,409,PK3-8th,294544,395461.95,137735.74,20037,38,45,,DGS_0420.0
-76.99986026,38.89290378,16,Peabody Elementary School,FALSE,FALSE,425 C STREET NE,Elementary School,ES,Active,202-698-3277,231, ,dcps_301,http://profiles.dcps.dc.gov/Peabody+Elementary+School+(Capitol+Hill+Cluster),301,301,N,,,,,-76.99985799,38.89289632,2020-2021,District of Columbia Public Schools,1,Peabody Elementary School (Capitol Hill Cluster),301,PK3-KG,288145,400012.32,136116.7,20002,61,80,,DGS_0595.0
-77.00412471,38.91522758,17,McKinley Technology High School,FALSE,FALSE,151 T STREET NE,High School/Specialized,HS,Active,202-281-3950,213, ,dcps_458,http://mckinleytech.org/,458,458,N,,,,,-77.00412244,38.91522012,2020-2021,District of Columbia Public Schools,1,McKinley Technology High School,458,9th-12th,296345,399642.48,138594.83,20002,,,,DGS_0283.0
-76.98307952,38.87009151,18,Anacostia High School,FALSE,FALSE,1601 16TH STREET SE,High School,HS,Active,202-698-2155,449, ,dcps_450,http://profiles.dcps.dc.gov/anacostia,450,450,N,1040,1935,247900,1100,-76.98307725,38.87008406,2020-2021,District of Columbia Public Schools,1,Anacostia High School,450,9th-12th,155922,401468.56,133584.5,20020,,,3,DGS_0324.0
-76.93245732,38.89332282,19,Kelly Miller Middle School,FALSE,FALSE,301 49TH STREET NE,Middle School,MS,Active,202-388-6870,449, ,dcps_421,http://kellymillerms.org/,421,421,Y,,,,,-76.93245515,38.89331541,2020-2021,District of Columbia Public Schools,1,Kelly Miller Middle School,421,6th-8th,294476,405859.65,136165.39,20019,,,,DGS_0462.0
-77.02118795,38.93442156,20,Bruce-Monroe Elementary School @ Park View,TRUE,FALSE,3560 WARDER STREET NW,Elementary School,ES,Active,202-576-6222,473, ,dcps_296,http://www.bmpv.org/,296,296,N,,1916,82200,,-77.02118567,38.9344141,2020-2021,District of Columbia Public Schools,1,Bruce-Monroe Elementary School @ Park View,296,PK3-5th,294583,398163.16,140725.73,20010,42,57,,DGS_0533.0
-76.98497481,38.88517893,21,Payne Elementary School,TRUE,FALSE,1445 C STREET SE,Elementary School,ES,Active,202-698-3262,300, ,dcps_295,http://paynedc.org/,295,295,N,438,1953,,,-76.984984,38.885171,2020-2021,District of Columbia Public Schools,1,Payne Elementary School,295,PK3-5th,289721,401302.84,135259.2,20003,28,36,,DGS_0466.0
-77.02944558,38.92920603,22,Tubman Elementary School,TRUE,FALSE,3101 13TH STREET NW,Elementary School,ES,Active,202-673-7285,542, ,dcps_328,http://profiles.dcps.dc.gov/tubman,328,328,N,607,1970,66600,450,-77.0294433,38.92919857,2020-2021,District of Columbia Public Schools,1,Tubman Elementary School,328,PK3-5th,294555,397447.02,140146.96,20010,39,34,,DGS_0471.0
-77.03586059,38.92955223,23,Columbia Heights Education Campus 6–8 (CHEC),FALSE,FALSE,3101 16TH STREET NW,Education Campus,MS,Active,202-939-7700,1336, ,dcps_475,http://www.checdc.org,442,475,N,,,,,-77.03585831,38.92954477,2020-2021,District of Columbia Public Schools,1,Columbia Heights Education Campus,442,6th-12th,234375,396890.8,140185.59,20010,,,4,DGS_0472.0
-76.99824126,38.84245063,24,King Elementary School,TRUE,FALSE,3200 6TH STREET SE,Elementary School,ES,Active,202-939-4900,374, ,dcps_344,http://profiles.dcps.dc.gov/King+Elementary+School,344,344,N,525,1971,65500,400,-76.99823899,38.84244319,2020-2021,District of Columbia Public Schools,1,King Elementary School,344,PK3-5th,294557,400152.88,130516.03,20032,26,51,,DGS_0481.0
-76.98031219,38.84764272,25,Turner Elementary School,TRUE,FALSE,3264 STANTON ROAD SE,Elementary School,ES,Active,202-645-3470,484, ,dcps_329,http://www.myschooldc.org/schools/profile/116/,329,329,N,,1965,77700,,-76.98031323,38.84763644,2020-2021,District of Columbia Public Schools,1,Turner Elementary School,329,PK3-5th,294561,401708.96,131092.7,20032,34,49,,DGS_0499.0
-76.98340084,38.84165284,26,Malcolm X Elementary School @ Green,FALSE,FALSE,1500 MISSISSIPPI AVENUE SE,Elementary School,ES,Active,202-645-3409,237, ,dcps_308,http://profiles.dcps.dc.gov/Malcolm+X+Elementary+School+%40+Green,308,308,N,571,1973,110800,400,-76.98339857,38.8416454,2020-2021,District of Columbia Public Schools,1,Malcolm X Elementary School @ Green,308,PK3-5th,294523,401441.25,130427.6,20032,26,26,,DGS_0313.0
-76.92232439,38.89679061,106,Woodson High School,FALSE,FALSE,540 55TH STREET NE,High School,HS,Active,202-724-4632,634, ,dcps_426,http://www.hdwoodsonwarriors.org/,464,425,N,1085,1967,156000,450,-76.92232826,38.89678662,2020-2021,District of Columbia Public Schools,1,H.D. Woodson High School,464,9th-12th,309633,406737.85,136551.42,20016,,,8,DGS_0681.0
-77.0777775,38.9501636,107,Wilson High School,FALSE,FALSE,3950 CHESAPEAKE STREET NW,High School,HS,Active,202-282-0120,1750,,dcps_463,http://www.wilsonhs.org/,463,463,N,1485,1935,271300,1600,-77.0777757,38.95015672,2020-2021,District of Columbia Public Schools,1,Woodrow Wilson High School,463,9th-12th,294587,393258.18,142475.96,20016,,,5,DGS_0551.0
-77.07907609,38.9230521,108,Stoddert Elementary School,TRUE,FALSE,4001 CALVERT STREET NW,Elementary School,ES,Active,202-671-6030,435, ,dcps_321,http://www.stoddert.org,321,321,N,213,1932,17400,325,-77.0790738,38.92304465,2020-2021,District of Columbia Public Schools,1,Stoddert Elementary School,321,PK4-5th,224730,393143.05,139466.38,20007,,20,,DGS_0578.0
